OBJECT CLASS MEMBERSHIP
Obj.nr,		True class,	A1,	A2,	A3
	0		1	1	1	1
	1		1	1	1	1
	2		1	1	1	1
	3		2	1	1	1
	4		2	1	1	1
	5		2	1	1	1
	6		3	1	1	1
	7		3	1	1	1
	8		3	1	1	1
	9		3	1	1	1
	10		3	1	1	1
	11		3	1	1	1
	12		3	1	1	1
	13		3	1	1	1
	14		3	1	1	1
	15		1	1	1	1
	16		1	1	1	1
	17		3	1	1	1
	18		2	1	1	1
	19		2	1	1	1
	20		2	1	1	1
	21		2	1	1	1
	22		3	1	1	1
	23		3	1	1	1
	24		3	1	1	1
	25		2	1	1	1
	26		2	1	1	1
	27		2	1	1	1
	28		2	1	1	1
	29		2	1	1	1
	30		2	1	1	1
	31		2	1	1	1
	32		2	1	1	1
	33		2	1	1	1
	34		1	1	1	1
	35		2	1	1	1
	36		2	1	1	1
	37		2	1	1	1
	38		1	1	1	1
	39		2	1	1	1
	40		1	1	1	1
	41		2	1	1	1
	42		1	1	1	1
	43		1	1	1	1
	44		1	1	1	1
	45		3	1	1	1
	46		3	1	1	1
	47		3	1	1	1
	48		3	1	1	1
	49		3	1	1	1
	50		3	1	1	1
	51		3	1	1	1
	52		3	1	1	1
	53		3	1	1	1
	54		3	1	1	1
	55		3	1	1	1
	56		3	1	1	1
	57		3	1	1	1
	58		3	1	1	1
	59		2	1	1	1
	60		2	1	1	1
	61		2	1	1	1
	62		1	1	1	1
	63		2	1	1	1
	64		2	1	1	1
	65		1	1	1	1
	66		2	1	1	1
	67		2	1	1	1
	68		2	1	1	1
	69		2	1	1	1
	70		2	1	1	1
	71		2	1	1	1
	72		2	1	1	1
	73		2	1	1	1
	74		2	1	1	1
	75		1	1	1	1
	76		2	1	1	1
	77		1	1	1	1
	78		2	1	1	1
	79		2	1	1	1
	80		2	1	1	1
	81		2	1	1	1
	82		2	1	1	1
	83		2	1	1	1
	84		1	1	1	1
	85		1	1	1	1
	86		2	1	1	1
	87		2	1	1	1
	88		2	1	1	1
	89		3	1	1	1
	90		3	1	1	1
	91		3	1	1	1
	92		1	1	1	1
	93		3	1	1	1
	94		3	1	1	1
	95		3	1	1	1
	96		3	1	1	1
	97		2	1	1	1
	98		2	1	1	1
	99		2	1	1	1
	100		2	1	1	1
	101		2	1	1	1
	102		2	1	1	1
	103		2	1	1	1
	104		2	1	1	1
	105		2	1	1	1
	106		2	1	1	1
	107		3	1	1	1
	108		1	1	1	1
	109		3	1	1	1
	110		3	1	1	1
	111		1	1	1	1
	112		3	1	1	1
	113		2	1	1	1
	114		2	1	1	1
	115		2	1	1	1
	116		2	1	1	1
	117		2	1	1	1
	118		2	1	1	1
	119		2	1	1	1
	120		2	1	1	1
	121		2	1	1	1
	122		2	1	1	1
	123		2	1	1	1
	124		2	1	1	1
	125		2	1	1	1
	126		2	1	1	1
	127		2	1	1	1
	128		2	1	1	1
	129		2	1	1	1
	130		2	1	1	1
	131		2	1	1	1
	132		2	1	1	1
	133		2	1	1	1
	134		2	1	1	1
	135		2	1	1	1
	136		2	1	1	1
	137		2	1	1	1
	138		3	1	1	1
	139		3	1	1	1
	140		3	1	1	1
	141		3	1	1	1
	142		3	1	1	1
	143		3	1	1	1
	144		3	1	1	1
	145		3	1	1	1
	146		3	1	1	1
	147		3	1	1	1
	148		3	1	1	1
	149		3	1	1	1
