OBJECT CLASS MEMBERSHIP
Obj.nr,		True class,	A1,	A2,	A3
	0		1	1	1	1
	1		1	1	1	1
	2		1	1	1	1
	3		1	1	1	1
	4		1	1	1	1
	5		1	1	1	1
	6		1	1	1	1
	7		1	1	1	1
	8		1	1	1	1
	9		1	1	1	1
	10		1	1	1	1
	11		1	1	1	1
	12		1	1	1	1
	13		1	1	1	1
	14		1	1	1	1
	15		1	1	1	1
	16		1	1	1	1
	17		1	1	1	1
	18		1	1	1	1
	19		1	1	1	1
	20		1	1	1	1
	21		1	1	1	1
	22		1	1	1	1
	23		1	1	1	1
	24		1	1	1	1
	25		1	1	1	1
	26		1	1	1	1
	27		1	1	1	1
	28		1	1	1	1
	29		1	1	1	1
	30		1	1	1	1
	31		1	1	1	1
	32		2	1	1	1
	33		2	1	1	1
	34		2	1	1	1
	35		1	1	1	1
	36		2	1	1	1
	37		2	1	1	1
	38		1	1	1	1
	39		1	1	1	1
	40		2	1	1	1
	41		3	1	1	1
	42		3	1	1	1
	43		3	1	1	1
	44		3	1	1	1
	45		3	1	1	1
	46		3	1	1	1
	47		3	1	1	1
	48		3	1	1	1
	49		3	1	1	1
	50		3	1	1	1
	51		3	1	1	1
	52		3	1	1	1
	53		3	1	1	1
	54		3	1	1	1
	55		3	1	1	1
	56		3	1	1	1
	57		3	1	1	1
	58		3	1	1	1
	59		3	1	1	1
	60		1	1	1	1
	61		1	1	1	1
	62		1	1	1	1
	63		1	1	1	1
	64		1	1	1	1
	65		1	1	1	1
	66		1	1	1	1
	67		1	1	1	1
	68		1	1	1	1
	69		3	1	1	1
	70		3	1	1	1
	71		3	1	1	1
	72		3	1	1	1
	73		3	1	1	1
	74		3	1	1	1
	75		3	1	1	1
	76		3	1	1	1
	77		3	1	1	1
	78		3	1	1	1
	79		3	1	1	1
	80		1	1	1	1
	81		1	1	1	1
	82		1	1	1	1
	83		1	1	1	1
	84		1	1	1	1
	85		1	1	1	1
	86		1	1	1	1
	87		1	1	1	1
	88		1	1	1	1
	89		1	1	1	1
	90		1	1	1	1
	91		1	1	1	1
	92		1	1	1	1
	93		1	1	1	1
	94		1	1	1	1
	95		1	1	1	1
	96		1	1	1	1
	97		1	1	1	1
	98		1	1	1	1
	99		1	1	1	1
	100		1	1	1	1
	101		1	1	1	1
	102		1	1	1	1
	103		1	1	1	1
	104		1	1	1	1
	105		1	1	1	1
	106		1	1	1	1
	107		1	1	1	1
	108		1	1	1	1
	109		1	1	1	1
	110		2	1	1	1
	111		1	1	1	1
	112		2	1	1	1
	113		2	1	1	1
	114		2	1	1	1
	115		2	1	1	1
	116		2	1	1	1
	117		2	1	1	1
	118		2	1	1	1
	119		2	1	1	1
	120		2	1	1	1
	121		2	1	1	1
	122		2	1	1	1
	123		2	1	1	1
	124		3	1	1	1
	125		3	1	1	1
	126		3	1	1	1
	127		3	1	1	1
	128		3	1	1	1
	129		3	1	1	1
	130		3	1	1	1
	131		3	1	1	1
	132		3	1	1	1
	133		3	1	1	1
	134		3	1	1	1
	135		3	1	1	1
	136		3	1	1	1
	137		3	1	1	1
	138		3	1	1	1
	139		3	1	1	1
	140		3	1	1	1
	141		3	1	1	1
	142		3	1	1	1
	143		2	1	1	1
	144		2	1	1	1
	145		2	1	1	1
	146		2	1	1	1
	147		2	1	1	1
	148		2	1	1	1
	149		1	1	1	1
	150		2	1	1	1
	151		1	1	1	1
	152		1	1	1	1
	153		1	1	1	1
	154		1	1	1	1
	155		1	1	1	1
	156		2	1	1	1
	157		1	1	1	1
	158		2	1	1	1
	159		1	1	1	1
	160		1	1	1	1
	161		1	1	1	1
	162		1	1	1	1
	163		1	1	1	1
	164		2	1	1	1
	165		2	1	1	1
	166		1	1	1	1
	167		1	1	1	1
	168		1	1	1	1
	169		1	1	1	1
	170		2	1	1	1
	171		1	1	1	1
	172		2	1	1	1
	173		2	1	1	1
	174		2	1	1	1
	175		2	1	1	1
	176		2	1	1	1
	177		2	1	1	1
	178		1	1	1	1
	179		1	1	1	1
	180		1	1	1	1
	181		1	1	1	1
	182		1	1	1	1
	183		1	1	1	1
	184		2	1	1	1
	185		1	1	1	1
	186		1	1	1	1
	187		1	1	1	1
	188		1	1	1	1
	189		1	1	1	1
	190		1	1	1	1
	191		1	1	1	1
	192		2	1	1	1
	193		2	1	1	1
	194		2	1	1	1
	195		2	1	1	1
	196		2	1	1	1
	197		1	1	1	1
	198		2	1	1	1
	199		2	1	1	1
	200		1	1	1	1
	201		1	1	1	1
	202		1	1	1	1
	203		1	1	1	1
	204		1	1	1	1
	205		2	1	1	1
	206		3	1	1	1
	207		3	1	1	1
	208		3	1	1	1
	209		3	1	1	1
	210		3	1	1	1
	211		3	1	1	1
	212		3	1	1	1
	213		3	1	1	1
	214		3	1	1	1
	215		3	1	1	1
	216		3	1	1	1
	217		3	1	1	1
	218		3	1	1	1
	219		3	1	1	1
	220		3	1	1	1
	221		3	1	1	1
	222		3	1	1	1
	223		3	1	1	1
	224		3	1	1	1
	225		3	1	1	1
	226		3	1	1	1
	227		3	1	1	1
	228		3	1	1	1
	229		3	1	1	1
	230		3	1	1	1
	231		3	1	1	1
	232		3	1	1	1
	233		3	1	1	1
	234		3	1	1	1
	235		3	1	1	1
	236		3	1	1	1
	237		3	1	1	1
	238		3	1	1	1
	239		3	1	1	1
	240		3	1	1	1
	241		3	1	1	1
	242		3	1	1	1
	243		3	1	1	1
	244		3	1	1	1
	245		3	1	1	1
	246		3	1	1	1
	247		3	1	1	1
	248		3	1	1	1
	249		3	1	1	1
	250		3	1	1	1
	251		3	1	1	1
	252		3	1	1	1
	253		3	1	1	1
	254		3	1	1	1
	255		3	1	1	1
	256		3	1	1	1
	257		3	1	1	1
	258		3	1	1	1
	259		3	1	1	1
	260		3	1	1	1
	261		3	1	1	1
	262		3	1	1	1
	263		3	1	1	1
	264		3	1	1	1
	265		2	1	1	1
	266		2	1	1	1
	267		1	1	1	1
	268		1	1	1	1
	269		1	1	1	1
	270		1	1	1	1
	271		1	1	1	1
	272		2	1	1	1
	273		1	1	1	1
	274		2	1	1	1
	275		1	1	1	1
	276		1	1	1	1
	277		2	1	1	1
	278		1	1	1	1
	279		2	1	1	1
	280		2	1	1	1
	281		2	1	1	1
	282		2	1	1	1
	283		2	1	1	1
	284		1	1	1	1
	285		1	1	1	1
	286		2	1	1	1
	287		2	1	1	1
	288		1	1	1	1
	289		2	1	1	1
	290		2	1	1	1
	291		1	1	1	1
	292		2	1	1	1
	293		2	1	1	1
	294		1	1	1	1
	295		2	1	1	1
	296		1	1	1	1
	297		1	1	1	1
	298		1	1	1	1
	299		2	1	1	1
	300		1	1	1	1
	301		1	1	1	1
	302		2	1	1	1
	303		1	1	1	1
	304		1	1	1	1
	305		1	1	1	1
	306		1	1	1	1
	307		2	1	1	1
	308		1	1	1	1
	309		1	1	1	1
	310		2	1	1	1
	311		1	1	1	1
	312		2	1	1	1
	313		2	1	1	1
	314		1	1	1	1
	315		2	1	1	1
	316		1	1	1	1
	317		1	1	1	1
	318		2	1	1	1
	319		2	1	1	1
	320		2	1	1	1
	321		2	1	1	1
	322		2	1	1	1
	323		2	1	1	1
	324		1	1	1	1
	325		1	1	1	1
	326		1	1	1	1
	327		1	1	1	1
	328		1	1	1	1
	329		1	1	1	1
	330		1	1	1	1
	331		2	1	1	1
	332		2	1	1	1
	333		1	1	1	1
	334		2	1	1	1
	335		1	1	1	1
	336		2	1	1	1
	337		1	1	1	1
	338		2	1	1	1
	339		2	1	1	1
	340		1	1	1	1
	341		1	1	1	1
	342		1	1	1	1
	343		1	1	1	1
	344		1	1	1	1
	345		1	1	1	1
	346		1	1	1	1
	347		1	1	1	1
	348		1	1	1	1
	349		3	1	1	1
	350		3	1	1	1
	351		3	1	1	1
	352		3	1	1	1
	353		3	1	1	1
	354		3	1	1	1
	355		3	1	1	1
	356		3	1	1	1
	357		3	1	1	1
	358		3	1	1	1
	359		3	1	1	1
	360		3	1	1	1
	361		3	1	1	1
	362		3	1	1	1
	363		3	1	1	1
	364		1	1	1	1
	365		1	1	1	1
	366		1	1	1	1
	367		1	1	1	1
	368		1	1	1	1
	369		3	1	1	1
	370		1	1	1	1
	371		3	1	1	1
	372		3	1	1	1
	373		1	1	1	1
	374		3	1	1	1
	375		3	1	1	1
	376		1	1	1	1
	377		3	1	1	1
	378		3	1	1	1
	379		1	1	1	1
	380		3	1	1	1
	381		1	1	1	1
	382		1	1	1	1
	383		3	1	1	1
	384		3	1	1	1
	385		3	1	1	1
	386		3	1	1	1
	387		3	1	1	1
	388		2	1	1	1
	389		2	1	1	1
	390		2	1	1	1
	391		2	1	1	1
	392		2	1	1	1
	393		2	1	1	1
	394		2	1	1	1
	395		3	1	1	1
	396		2	1	1	1
	397		3	1	1	1
	398		2	1	1	1
	399		2	1	1	1
	400		2	1	1	1
	401		2	1	1	1
	402		3	0	0	1
	403		1	1	1	1
	404		1	1	1	1
	405		3	1	1	1
	406		1	1	1	1
	407		1	1	1	1
	408		1	1	1	1
	409		1	1	1	1
	410		3	1	1	1
	411		3	1	1	1
	412		3	1	1	1
	413		1	1	1	1
	414		3	1	1	1
	415		1	1	1	1
	416		3	1	1	1
	417		3	1	1	1
	418		1	1	1	1
	419		3	1	1	1
	420		3	1	1	1
	421		1	1	1	1
	422		1	1	1	1
	423		3	1	1	1
	424		3	1	1	1
	425		1	1	1	1
	426		3	1	1	1
	427		2	1	1	1
	428		2	1	1	1
	429		2	1	1	1
	430		2	1	1	1
	431		2	1	1	1
	432		2	1	1	1
	433		2	1	1	1
	434		2	1	1	1
	435		2	1	1	1
	436		2	1	1	1
	437		2	1	1	1
	438		2	1	1	1
	439		2	1	1	1
	440		2	1	1	1
