
 Result of testing:
 Obj.nr       True class    Assigned class
      1               1                 1
      2               1                 2
      3               1                 1
      4               2                 2
      5               2                 2
      6               2                 2
      7               3                 3
      8               3                 3
      9               3                 3
     10               3                 3
     11               3                 3
     12               3                 3
     13               3                 3
     14               3                 3
     15               3                 3
     16               1                 1
     17               1                 1
     18               3                 3
     19               2                 2
     20               2                 2
     21               2                 2
     22               2                 2
     23               3                 3
     24               3                 3
     25               3                 3
     26               2                 2
     27               2                 2
     28               2                 2
     29               2                 2
     30               2                 2
     31               2                 2
     32               2                 2
     33               2                 2
     34               2                 2
     35               1                 1
     36               2                 2
     37               2                 2
     38               2                 2
     39               1                 1
     40               2                 2
     41               1                 1
     42               2                 2
     43               1                 1
     44               1                 1
     45               1                 1
     46               3                 3
     47               3                 3
     48               3                 3
     49               3                 3
     50               3                 3
     51               3                 3
     52               3                 3
     53               3                 3
     54               3                 3
     55               3                 3
     56               3                 3
     57               3                 3
     58               3                 3
     59               3                 3
     60               2                 2
     61               2                 1
     62               2                 2
     63               1                 1
     64               2                 2
     65               2                 2
     66               1                 1
     67               2                 2
     68               2                 2
     69               2                 2
     70               2                 2
     71               2                 2
     72               2                 2
     73               2                 2
     74               2                 2
     75               2                 2
     76               1                 1
     77               2                 2
     78               1                 1
     79               2                 2
     80               2                 2
     81               2                 2
     82               2                 2
     83               2                 2
     84               2                 2
     85               1                 1
     86               1                 1
     87               2                 2
     88               2                 2
     89               2                 2
     90               3                 3
     91               3                 3
     92               3                 3
     93               1                 1
     94               3                 3
     95               3                 3
     96               3                 3
     97               3                 3
     98               2                 2
     99               2                 2
    100               2                 2
    101               2                 2
    102               2                 2
    103               2                 2
    104               2                 2
    105               2                 2
    106               2                 2
    107               2                 2
    108               3                 3
    109               1                 1
    110               3                 3
    111               3                 3
    112               1                 1
    113               3                 3
    114               2                 2
    115               2                 2
    116               2                 2
    117               2                 2
    118               2                 2
    119               2                 2
    120               2                 2
    121               2                 2
    122               2                 2
    123               2                 2
    124               2                 2
    125               2                 2
    126               2                 2
    127               2                 2
    128               2                 2
    129               2                 2
    130               2                 2
    131               2                 2
    132               2                 2
    133               2                 3
    134               2                 1
    135               2                 2
    136               2                 1
    137               2                 2
    138               2                 2
    139               3                 3
    140               3                 3
    141               3                 3
    142               3                 3
    143               3                 3
    144               3                 3
    145               3                 3
    146               3                 3
    147               3                 3
    148               3                 3
    149               3                 3
    150               3                 3

 Misclassification rate:  3.3%

 Misclassification frequences: 
             1      2      3
      1     19      1      0
      2      3     76      1
      3      0      0     50

 Probabilities a priori: 
             1      2      3
      1 0.9500 0.0500 0.0000
      2 0.0375 0.9500 0.0125
      3 0.0000 0.0000 1.0000

 Probabilities a posteriori: 
             1      2      3
      1 0.8636 0.1364 0.0000
      2 0.0130 0.9870 0.0000
      3 0.0000 0.0196 0.9804
